395678	1107860	Амаль што ўдалы план
397666	1138489	Рука ў руцэ
397667	1130884	Востраў праклятых
398811	1105753	Бубачкі
398812	1094278	Хітрыкі
402570	1151915	Каляды як мае быць
402662	1166810	Таўстуны
403523	1175505	Лэйдзіс
404244	1020773	Завераная копія
404459	1120985	Сумная валянцінка
404900	0903747	На ўсе застаўкі (субцітры)
405609	1014759	Аліса ў Цудазем'і
408876	1170358	Хобіт: Пустка Смаўга
409160	1095217	Дрэнны лейтэнант
409372	1022603	(500) дзён лета
409507	1220719	Іп Ман
410477	1210349	Яшчэ не вечар
412473	1186369	Маўчанне Лорны
413362	1010048	Мільянер з трушчобаў
416275	1019452	Паважны чалавек
418790	1139328	Прывід пяра
418847	1244754	Пэўнасць
419053	1258141	У мяне было каханне
419533	0494860	Чарцюк з сёмага класу
420856	1260596	Клубнічнае віно
422063	1274296	Слухай сваё сэрца
423040	1283473	Стадыён бяздомных
423539	1234918	Амалья
424063	1287845	Кунг-фу Панда: Сакрэты Апантанай пяцёркі
424162	1275590	На тым баку ложка
424266	1037705	Кніга Ілая
424372	1280548	Краіна цацак
424616	1274738	Рыса
427255	1303230	Апантаны
427293	0968311	Сярод белага дня
427550	1288376	Чужая
427878	1302011	Кунг-фу панда 2
429016	1291634	Стрэмкі
432719	1324055	Млын і крыж
436225	1340138	Генэзіс Тэрмінатара (субцітры)
437338	0847147	Палітыканы
441808	1361835	Апошняе маўчанне
445158	1360887	Аер
447116	1368448	У Бога за мяжою
450213	0878804	Нябачны бок
450237	1245526	РЭД
450753	1386932	Іп Ман 2
450760	1377575	Знакі
453406	1392190	Шалёны Макс: Дарога лютасці
455627	1399683	Зімовая костка
456927	1405810	Вандроўныя міны
457298	1417067	Цырк Каламбія
460137	0791274	Эверэст
461939	1189340	Адвакат на Лінкальне
462273	1322269	Жнівень у акрузе Оўсэйдж
462482	1124035	Сцеражыся, Цэзар
462606	1219289	Бяз межаў
462654	1226837	Харашун
463647	1007029	Жалезная дама
463897	1109624	Падынгтан
463932	1340107	Помста
464446	1327773	Прыслужнік
464484	1371111	Атлас аблокаў
466581	1446192	Вартавыя легендаў
468466	1454468	Гравітацыя
468581	1392170	Галодныя гульні
468994	1457767	Заклён
469231	1646114	Шчасце маё
469740	0484855	Джордж Карлін - Жыццё вартае страты
473534	1507355	Цырк матылькоў
478045	1511447	Апошняя акцыя
484474	1540133	Сяржант
484633	1533795	Магічнае дрэва
484880	1538221	Анжэль і Тані
485261	1465522	Такер і Дэйл супраць зла
490215	1563665	Шчыгрынавая скура
490326	1467273	Найлепшае ў жыцці
491547	1486217	Арчар (субцітры)
492366	1568921	Пазычайка Арыеці
492503	1550312	Кавярня Любові
493830	1442584	Усё, што люблю
493979	1585255	Цырульніца
496849	1587310	Малефісента
496943	1596343	Фарсаж 5
497043	1570583	Дзеля Элен
498709	1592521	Кузэны
504267	1612537	Бубачкі 2
504465	1605783	Поўнач у Парыжы
504737	1606180	Вось я хто
507537	1617123	Я з табою
508697	1639093	Расейская дыскатэка
510390	1090607	Таямніца крэпасці шыфраў
517988	1637688	Час
518188	1648112	Новыя хлопцы турба
521992	1493127	Сыгнёт падману
523002	1655420	Тыдзень з Мэрылін
523069	1663321	Кураня са слівамі
523134	1655628	Другое дзяцінства
523315	1491043	Другі шанец
523362	1648216	Тры метры над небам
523402	1654523	Начны цягнік да Лісабона
533954	1661199	Папялушка
535341	1675434	1+1 (Недатыкальныя)
535406	1675192	Схоў
536419	1684935	Венецыя
542177	1687861	Да смерці трэба паспець
542508	1440180	Гётэ!
546311	1664892	Шалёнае шчасце
557690	1674773	Ганна Арэнт
558495	1705786	Кітайская гісторыя
566018	1722484	Том Соер
566138	1718835	Як у страшным сне
568413	1726889	Сям’і не выбіраюць
569071	1730768	Жонка наглядчыка заапарка
570092	1754455	Вучань Святога Мікалая
571896	1753383	Сэнс сабачага жыцця (субцітры)
571912	1757927	Блуклівае вока
572032	1745960	Топ Ган: Мэверык (субцітры)
572462	1764275	Бяздонне
572553	1754656	Маленькі прынц
574591	0251510	Таямніца Сагалі
575670	1783422	Два жыцці
575974	1787127	Дараванне крыві
580181	1839654	Дзівосы Бэл Айл
582122	1839642	Абліччы кахання
582218	1815943	Выкрадаючы рай
582291	1826780	Не здавайся
584008	1764616	Цукар
584809	1881024	Апошняя куля
585641	1872880	От шчасце!
586260	1772341	Ральф-руйнач
589028	1878932	Напаказ
591929	1865718	Гравіці Фолз
595782	1964795	Чырвонае і сіняе
596208	1980929	Пачні зноў
597133	1972761	Іспанія
598268	1914302	Дэтэктар хлусні
601012	1980935	Цыган
602373	1951264	Галодныя гульні: Узгаранне
609808	1907704	Наладчык
622787	1946298	Дазіральнік
630420	2076176	Клёклё
631966	2070701	Імем Шэрлака Голмза
645118	2096673	Галаваломка
661577	2187115	Поза дзіцяці
661938	2193021	Страла
662596	2194499	Нарэшце
663701	2180587	Усё, што застанецца
663964	2197849	Бровар "Рамантык"
666951	2234003	Галгофа
667025	2215395	Палет
667651	2217859	Гучней за бомбы
668654	1934234	Дыяс. Не змывайце гэтай крыві
669032	0409379	У сакрэце
677426	2354181	Свавольнікі
683999	2278388	Гатэль «Гранд Будапешт»
685246	2861424	Рык і Морці
688350	2218044	Ежа
688808	2172554	Жыццё ў акварыуме
689306	2199448	Гульня паводле правіл
693126	2245084	Геройская шасцёрка
694014	2293138	Жыве Францыя!
694249	2258858	Ўаджда
694633	2310332	Хобіт: Бітва пяці войскаў
696154	2319580	Лоўля на вялікага жыўца
697977	2343536	Мёртвыя і жывыя
702714	2350496	Ланч-бокс
708110	2275990	Следапыткі з Блэтчлі (1-2 сезоны)
709862	2022713	Брыклбэры
719817	2534634	Фехтавальнік
721593	2476552	Захад
725190	2582802	Ўіплэш
726340	2560988	Каханне ды іншыя напасці
730665	2591814	Сад слоў
730715	2611652	Фусі
731214	2624672	Ра
731274	2593084	Дванаццаць месяцаў
733151	2400631	Чэрап і косці
735217	1599164	Прыстань
739027	2719094	Папуша
739655	2873250	Аднойчы ў лесе
744766	2764784	Фенікс
745082	2756602	Прыгоды Несцеркі
748663	2800240	Чым мы прагнявілі Бога?
749559	2790236	Каханыя сёстры
762738	2911666	Джон Уік (субцітры)
764741	3037582	Павадыр
766592	2987342	Чалавек-усмешка
769333	2619250	Малярыя
770739	2976920	Віёлет
770997	2949338	Пакой 8
771092	2944454	Райлі-перамотка
772017	2991224	Мандарыны
775273	02948372	Душа
775727	3011894	Дзікія гісторыі
780188	2763296	Вялікі рабунак на чыгунцы
781115	3062880	Вівіен Амсалем хоча развесцiся
784501	3092590	Квіток на месяц
784546	3092552	Хочацца жыць
797840	3183660	Фантастычныя істоты і дзе іх адшукаць
798120	3300814	Нечы позірк
802757	3216380	Залатыя верацёны
805111	3230162	Ціхая вада
807474	2548418	Джанатан Стрэндж і містэр Норэл
807917	3327994	Чалавек
808377	3346824	1001 грам
809823	3340446	Мой сябар містар Персіваль
810932	3365778	Дыхай
811958	3375370	Герой з рэвальверам
817739	2768802	Мікі Маўс
818981	3416742	Што мы робім у цемры
819846	3464902	Лобстар
820651	3469960	Маконда
821008	3470600	Спявай (субцітры)
824954	3472226	Кунг Ф'юры
827868	3268458	Кроў ад крыві інтэрнэту
829561	3480158	Вяртанне на Ітаку
829648	3521306	Добрая жонка
837530	3521164	Маана (субцітры)
839024	2121382	Форс-мажор
839355	3759416	Астэрыкс. Зямля багоў
839417	2044128	Карацей
839458	3581920	Апошнія з нас
839650	3606756	Суперсямейка 2
840320	3665930	Гармонія
841147	3553976	Капітан Фантастык
841348	3765326	Горад 44
841925	3983692	Дагістарычныя монстры Гітлера
843614	3958072	Урок
843854	0478959	Кароль-вінароб
845851	3582040	Бумеранг
848220	4042814	Надзея на брамніка
848894	4080728	Чалавек званы Увэ
850057	3559202	Час без паветра
855905	3544082	45 гадоў
864138	3741834	Леў
864243	3620860	Аднахвілінная машына часу
872898	4082068	Дыпан
880649	4113712	Найтвінг
882273	4489416	Сэрцу хочацца крычаць
882569	4326444	Хульета
882927	4298958	Ан: салодкі боб
883327	4114654	Божая цярніна
884384	3830162	Вайна
885045	4375438	Клуб
894393	4216908	Гарнастай
894453	4483460	Сонда: аргентынскі фальклор
902009	4466946	Пыха
902577	4560008	Дзівосна гожая гісторыя
906042	4468740	Падынгтан 2
906595	4466648	Смерць у Сараеве
910832	4622202	І зноў каханне
920265	4633694	Чалавек-павук: Скрозь сусветы
925669	4901306	Блізкія незнаёмыя
929540	3568804	Шторм: палаючы ліст
929885	4682788	Кахаючы Паблё, ненавідзячы Эскабара
930534	4972582	Расшчэплены
934350	5029608	Франц
934867	5049636	Карбаля
934956	4244998	Альфа
936387	5062652	Каронны прынц
936570	4630550	Справа сумлення
936858	4730838	Чароўны лес Гакебаке
938727	5061360	Абяцанне на досвітку
939915	5096536	Напраўляць, пакуль жывыя
942666	4354276	Новый cвет
944944	5194504	Ты знікаеш
947178	5221584	Дом Вадаліва
952593	5247704	Тое, што нас лучыць
959365	4857264	Нябачны госць
959589	5258850	Сустрэнемся там, угары
961957	5348236	Акушэрка
965581	5280626	Златан. Узыходжанне
968492	5531536	Цесля і Калядны Зюзя
970703	5574166	Код 8
975701	5690810	Афэлія
976636	4209788	Моліна гульня
977493	4955642	Добрае месца
977743	5580390	Форма вады (субцітры)
978613	5727282	Борг супраць Макінраў
982015	4702752	Назіраючы за Джульетай
986759	5814592	Вечарынка
992500	5886440	Мэраўбоўн
996303	5996202	У сетцы
1000038	5992202	Мой сябар жырафа
1000067	5818818	Боскі парадак
1005852	5929754	Дзікае жыццё
1008385	5580036	Я, Тоня
1008972	5389750	Пракурор
1009142	6313379	Спявай 2
1009433	5541852	Медаловы
1009513	5113044	Міньёны: Паўстанне Гру (субцітры)
1017989	6263618	У праходах
1029333	6238896	Зямля. Адзін дзівосны дзень
1035615	6313378	Боль
1036188	6433456	Стаючыся Астрыд
1038519	6187794	У пошуках Джона Ленана
1038780	6576556	Маўклівая рэвалюцыя
1044004	5180504	Вядзьмар
1045792	6990734	Ракка
1046146	1973421	Інстынкт
1046599	7078780	Зігота
1047309	6896536	Факстрот
1048532	7298400	Бела-бялюткі попел
1048908	7236034	Я хачу з'есці тваю падстраўнікавую
1054990	6938828	Ля брамы вечнасці
1059224	7063210	Кавярня
1061664	7253316	Лялячнік
1080513	7146812	Наперад
1081020	6772524	Клопат
1083309	6386748	Пералётныя птушкі
1092238	7477068	Тытуннік
1092680	6961808	Апошняе дзівацтва Клер Дарлінг
1108390	5997848	Калядны дамок
1108577	6966692	Зялёная кніга
1108775	7666250	Юлі
1111005	6718170	Супэрбраты Марыё
1112205	7476236	Заўтра ці пазаўтра
1118138	8111088	Зорныя войны: Мандалорац
1126841	7978912	Следапыткі з Блэтчлі: Сан-Францыска
